haystack,question_key,n_needles,max_rank,min_rank,all_ranks,max_rank_q_id,max_rank_needle_item_id,chars,pct_of_haystack,haystack_chars,k_used,n_total_chunks,mean_chunk_chars,min_chunk_chars,max_chunk_chars
10000_rand_book_1,onehop,4,2,1,1|1|1|2,0405_onehop,0405,118,1.18,10000,2,71,59.0,55,63
10000_rand_book_1,twohop,4,11,1,1|1|1|11,0405_twohop,0405,1681,16.81,10000,11,71,152.82,39,479
20000_rand_book_1,onehop,4,4,1,1|1|2|4,0405_onehop,0405,850,4.25,20000,4,135,212.5,52,563
20000_rand_book_1,twohop,4,24,1,1|2|2|24,0405_twohop,0405,3706,18.53,20000,24,135,154.42,14,469
30000_rand_book_1,onehop,4,4,1,1|1|1|4,0405_onehop,0405,758,2.5267,30000,4,169,189.5,55,424
30000_rand_book_1,twohop,4,18,3,3|5|3|18,0405_twohop,0405,3518,11.7267,30000,18,169,195.44,30,827
40000_rand_book_1,onehop,4,3,1,1|1|1|3,0405_onehop,0405,363,0.9075,40000,3,226,121.0,55,194
40000_rand_book_1,twohop,4,45,2,2|3|4|45,0405_twohop,0405,9442,23.605,40000,45,226,209.82,4,683
50000_rand_book_1,onehop,4,1,1,1|1|1|1,0402Inv_onehop,0402Inv,62,0.124,50000,1,290,62.0,62,62
50000_rand_book_1,twohop,4,41,2,4|4|2|41,0405_twohop,0405,10675,21.35,50000,41,290,260.37,26,1742
60000_rand_book_1,onehop,4,11,1,1|1|1|11,0405_onehop,0405,1556,2.5933,60000,11,392,141.45,55,333
60000_rand_book_1,twohop,4,72,3,5|5|3|72,0405_twohop,0405,12552,20.92,60000,72,392,174.33,13,611
70000_rand_book_1,onehop,4,13,1,1|1|2|13,0405_onehop,0405,2258,3.2257,70000,13,407,173.69,16,494
70000_rand_book_1,twohop,4,69,6,6|7|10|69,0405_twohop,0405,13877,19.8243,70000,69,407,201.12,8,778
80000_rand_book_1,onehop,4,4,1,1|1|2|4,0405_onehop,0405,1415,1.7688,80000,4,453,353.75,55,655
80000_rand_book_1,twohop,4,65,3,3|3|3|65,0405_twohop,0405,15742,19.6775,80000,65,453,242.18,22,1046
90000_rand_book_1,onehop,4,7,1,1|1|2|7,0405_onehop,0405,1721,1.9122,90000,7,515,245.86,41,788
90000_rand_book_1,twohop,4,70,5,6|9|5|70,0405_twohop,0405,18841,20.9344,90000,70,515,269.16,32,1029
100000_rand_book_1,onehop,4,14,1,1|1|1|14,0405_onehop,0405,3284,3.284,100000,14,542,234.57,12,622
100000_rand_book_1,twohop,4,101,5,5|8|6|101,0405_twohop,0405,24965,24.965,100000,101,542,247.18,12,991
200000_rand_book_1,onehop,4,17,1,1|1|4|17,0405_onehop,0405,4985,2.4925,200000,17,1161,293.24,25,680
200000_rand_book_1,twohop,4,176,7,7|12|15|176,0405_twohop,0405,45742,22.871,200000,176,1161,259.9,21,1122
300000_rand_book_1,onehop,4,41,1,1|1|6|41,0405_onehop,0405,7879,2.6263,300000,41,1775,192.17,27,1064
300000_rand_book_1,twohop,4,287,21,21|30|24|287,0405_twohop,0405,66739,22.2463,300000,287,1775,232.54,13,1742
400000_rand_book_1,onehop,4,57,1,1|1|15|57,0405_onehop,0405,10185,2.5463,400000,57,2319,178.68,13,1064
400000_rand_book_1,twohop,4,340,28,28|35|30|340,0405_twohop,0405,72493,18.1232,400000,340,2319,213.21,7,1742
500000_rand_book_1,onehop,4,48,1,1|1|7|48,0405_onehop,0405,11106,2.2212,500000,48,2858,231.38,24,1009
500000_rand_book_1,twohop,4,422,28,28|43|28|422,0405_twohop,0405,93694,18.7388,500000,422,2858,222.02,5,1031
600000_rand_book_1,onehop,4,68,1,1|1|14|68,0405_onehop,0405,12182,2.0303,600000,68,3502,179.15,17,559
600000_rand_book_1,twohop,4,530,25,25|32|40|530,0405_twohop,0405,113052,18.842,600000,530,3502,213.31,8,1047
700000_rand_book_1,onehop,4,45,1,1|1|4|45,0405_onehop,0405,9589,1.3699,700000,45,4086,213.09,13,1615
700000_rand_book_1,twohop,4,630,36,36|50|36|630,0405_twohop,0405,136498,19.4997,700000,630,4086,216.66,6,1615
800000_rand_book_1,onehop,4,90,1,1|1|19|90,0405_onehop,0405,18310,2.2887,800000,90,4641,203.44,17,806
800000_rand_book_1,twohop,4,737,44,44|62|53|737,0405_twohop,0405,167983,20.9979,800000,737,4641,227.93,7,2006
900000_rand_book_1,onehop,4,94,1,1|1|15|94,0405_onehop,0405,22216,2.4684,900000,94,5229,236.34,10,1764
900000_rand_book_1,twohop,4,823,57,65|79|57|823,0405_twohop,0405,180487,20.0541,900000,823,5229,219.3,6,2006
1000000_rand_book_1,onehop,4,104,1,1|1|19|104,0405_onehop,0405,23589,2.3589,1000000,104,5671,226.82,6,1615
1000000_rand_book_1,twohop,4,920,45,45|56|54|920,0405_twohop,0405,217152,21.7152,1000000,920,5671,236.03,6,1742
